DIRECTED	paperref-cites
cat=NOTEXIST,EXIST:exists
466534	paperref:403452	|	paperref:405691	|
470838	paperref:404679	|	paperref:406028	|	exists=EXIST:P=0.0,1.0
463345	paperref:407423	|	paperref:406882	|	exists=EXIST:P=0.0,1.0
475315	paperref:405674	|	paperref:402850	|	exists=NOTEXIST:P=1.0,0.0
451440	paperref:402649	|	paperref:402385	|
449936	paperref:404751	|	paperref:405069	|
469665	paperref:406689	|	paperref:402691	|
462127	paperref:407351	|	paperref:407729	|
458480	paperref:405114	|	paperref:403649	|
465063	paperref:403860	|	paperref:405452	|
461449	paperref:406379	|	paperref:406004	|
468232	paperref:405984	|	paperref:402655	|
467607	paperref:402481	|	paperref:405088	|	exists=EXIST:P=0.0,1.0
456975	paperref:407122	|	paperref:406760	|
477187	paperref:404290	|	paperref:406048	|
469198	paperref:403717	|	paperref:404222	|
462482	paperref:403508	|	paperref:404595	|
449752	paperref:403530	|	paperref:402579	|
472432	paperref:403336	|	paperref:405143	|
473919	paperref:407150	|	paperref:405966	|
466929	paperref:406821	|	paperref:405966	|
453308	paperref:404754	|	paperref:402552	|	exists=EXIST:P=0.0,1.0
464179	paperref:403657	|	paperref:406003	|
457130	paperref:406601	|	paperref:407127	|
459414	paperref:402881	|	paperref:403761	|
458924	paperref:403264	|	paperref:403526	|
453816	paperref:406571	|	paperref:407212	|
461267	paperref:404068	|	paperref:405973	|	exists=EXIST:P=0.0,1.0
457707	paperref:406553	|	paperref:406741	|
453675	paperref:403982	|	paperref:407358	|
475949	paperref:406384	|	paperref:405995	|
460890	paperref:403800	|	paperref:402397	|	exists=NOTEXIST:P=1.0,0.0
468122	paperref:406834	|	paperref:402479	|	exists=EXIST:P=0.0,1.0
457039	paperref:404278	|	paperref:402840	|
469807	paperref:402884	|	paperref:403389	|
470725	paperref:403673	|	paperref:406109	|
452980	paperref:406373	|	paperref:402773	|	exists=EXIST:P=0.0,1.0
472649	paperref:406640	|	paperref:402839	|
461840	paperref:407509	|	paperref:404898	|
